priority,ticker,name,current_status,promotion_group,normal_a_countable,blocker,evidence_to_add,action,client_explanation
73,6981.T,村田製作所,通常A未達（条件付き）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,過熱:条件付き,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
74,9433.T,KDDI,A補完枠（通常Aではない）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,リスク:防御枠 / 期待値:防御枠,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
75,2503.T,キリンHD,A補完枠（通常Aではない）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,リスク:防御枠 / 期待値:防御枠,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
76,7011.T,三菱重工,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
77,8058.T,三菱商事,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
78,8053.T,住友商事,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
79,8031.T,三井物産,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証 / 質的根拠:補助,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
80,8002.T,丸紅,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
81,6501.T,日立製作所,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
82,1605.T,INPEX,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
83,7012.T,川崎重工業,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
84,2802.T,味の素,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
85,8725.T,MS&AD,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
86,5020.T,ENEOS HD,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
87,8001.T,伊藤忠商事,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
88,1812.T,鹿島,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
89,1802.T,大林組,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
90,1801.T,大成建設,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
91,1803.T,清水建設,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
92,5019.T,出光興産,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,イベント反応:反証 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
93,6301.T,コマツ,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
94,6702.T,富士通,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
95,4519.T,中外製薬,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
96,9766.T,コナミグループ,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
97,7202.T,いすゞ自動車,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
98,9697.T,カプコン,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
99,9434.T,ソフトバンク,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / リスク:防御枠 / 期待値:防御枠 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
100,6201.T,豊田自動織機,通常A不可（イベント反証）,通常A不可（反証あり）,NO,決算後20営業日の指数比が弱い,財務:不足 / イベント反応:反証 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,次回決算、上方修正、政策材料などで反応が改善するまで通常Aに上げない。,財務やテーマが良くても、市場が実際に買っていない証拠があるため、通常Aには数えない。
