rank,ticker,name,status,normal_a_ready,financial_gate,event_gate,qualitative_gate,risk_gate,ev_gate,reliability_gate,overheat_gate,expected_value_pct,risk_score,reliability,one_year_pct,max_dd5_pct,d20_excess_pct,financial_evidence,event_evidence,qualitative_evidence,blocking_reason,next_work
34,7269.T,スズキ,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.58,46.8,54.0,7.5,-35.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.58%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
35,3402.T,東レ,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.6,59.4,54.0,15.5,-26.5,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.6%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
36,6861.T,キーエンス,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.66,50.1,66.0,23.6,-39.8,0.0,公式決算原本照合 / PER,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.66%) / 信頼度不足(66),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
37,7203.T,トヨタ自動車,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.68,41.7,62.0,18.7,-41.7,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.68%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
38,7532.T,パン・パシフィック,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.68,42.1,54.0,-6.1,-41.5,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.68%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
39,6326.T,クボタ,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.7,44.2,54.0,83.3,-40.2,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.7%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
40,7832.T,バンダイナムコHD,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.85,41.5,54.0,-19.8,-35.1,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.85%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
41,6758.T,ソニーグループ,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.95,38.4,62.0,-9.1,-39.8,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.95%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
42,9020.T,JR東日本,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-1.14,63.6,54.0,15.4,-24.6,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-1.14%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
43,4503.T,アステラス製薬,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-1.21,46.8,54.0,57.7,-41.6,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-1.21%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
44,6098.T,リクルートHD,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-1.23,20.7,62.0,21.0,-58.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(20.7) / 期待値が低い(-1.23%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
45,7267.T,ホンダ,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-1.73,50.6,54.0,5.8,-34.2,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-1.73%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
46,4005.T,住友化学,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-2.16,39.9,54.0,79.5,-47.2,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.16%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
47,6526.T,ソシオネクスト,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-2.36,7.2,54.0,26.0,-75.4,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(7.2) / 期待値が低い(-2.36%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
48,9202.T,ANA HD,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-2.57,59.6,54.0,3.8,-26.2,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.57%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
49,4543.T,テルモ,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-2.96,40.9,54.0,-10.7,-38.9,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.96%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
50,2502.T,アサヒGHD,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-2.96,55.9,54.0,-17.0,-29.2,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.96%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
51,9022.T,JR東海,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-2.98,51.6,54.0,11.3,-30.3,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.98%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
52,6902.T,デンソー,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-3.33,45.9,54.0,0.8,-43.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.33%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
53,2801.T,キッコーマン,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-3.4,54.3,62.0,7.2,-38.2,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.4%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
54,6273.T,SMC,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-3.47,34.1,54.0,27.2,-52.7,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(34.1) / 期待値が低い(-3.47%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
55,4452.T,花王,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-3.52,59.2,62.0,-6.0,-31.9,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.52%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
56,9021.T,JR西日本,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-3.82,51.6,54.0,-13.7,-32.9,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.82%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
57,7270.T,SUBARU,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-3.91,37.5,54.0,-2.6,-39.6,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.91%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
58,2432.T,ディー・エヌ・エー,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-4.15,41.7,54.0,-0.2,-46.4,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-4.15%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
59,4568.T,第一三共,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-4.85,17.6,54.0,-30.4,-57.7,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(17.6) / 期待値が低い(-4.85%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
60,3092.T,ZOZO,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,通過,-4.86,30.7,54.0,-34.8,-46.8,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(30.7) / 期待値が低い(-4.86%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
61,3659.T,ネクソン,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-5.11,15.8,54.0,-13.5,-50.5,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(15.8) / 期待値が低い(-5.11%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
62,7974.T,任天堂,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,通過,条件付き,-5.23,13.2,70.0,-41.3,-52.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(13.2) / 期待値が低い(-5.23%) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
63,9843.T,ニトリHD,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-6.2,25.3,54.0,-13.4,-52.9,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(25.3) / 期待値が低い(-6.2%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
64,8113.T,ユニ・チャーム,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-6.25,32.8,54.0,-13.5,-54.0,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(32.8) / 期待値が低い(-6.25%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
65,6645.T,オムロン,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-6.5,28.0,54.0,50.7,-69.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(28) / 期待値が低い(-6.5%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
66,4689.T,LINEヤフー,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-7.02,18.5,54.0,-20.3,-60.3,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(18.5) / 期待値が低い(-7.02%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
67,4661.T,オリエンタルランド,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-7.34,13.1,54.0,-27.4,-62.2,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(13.1) / 期待値が低い(-7.34%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
68,4385.T,メルカリ,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-7.35,24.7,62.0,71.5,-77.2,0.0,公式決算原本照合 / PER,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(24.7) / 期待値が低い(-7.35%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
69,4755.T,楽天グループ,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-7.55,21.4,54.0,-6.4,-64.7,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(21.4) / 期待値が低い(-7.55%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
70,4751.T,サイバーエージェント,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-7.81,20.9,54.0,-10.5,-67.4,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(20.9) / 期待値が低い(-7.81%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
71,4523.T,エーザイ,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-8.05,26.7,54.0,2.6,-69.5,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(26.7) / 期待値が低い(-8.05%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
72,4911.T,資生堂,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-8.3,25.0,54.0,19.9,-72.8,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(25) / 期待値が低い(-8.3%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
73,6869.T,シスメックス,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-8.74,8.0,54.0,-42.1,-74.2,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(8) / 期待値が低い(-8.74%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
74,6594.T,ニデック,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-8.99,13.1,62.0,-4.6,-71.8,0.0,公式決算原本照合 / PER,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(13.1) / 期待値が低い(-8.99%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
75,2413.T,エムスリー,通常A未達（財務不足）,NO,不足,不足,不足,不足,防御枠,不足,条件付き,-9.02,6.4,54.0,-30.3,-86.8,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(6.4) / 期待値が低い(-9.02%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
76,7011.T,三菱重工,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,14.44,47.2,100.0,17.2,-35.8,-19.87,受注高+19.5%・売上収益+14.1%・事業利益+21.8%・親会社所有者帰属利益+35.3%・EPS98.86円・ROE12.2%・BPS919.16円・親会社所有者帰属持分比率37.3%・FY2027会社予想売上+8.6%/事業利益+24.9%を確認,2025年度決算説明資料 / 開示日基準 / D+1 1.62% / D+5 -0.55% / D+20 -19.87% / イベント反証,防衛・航空宇宙・エナジー受注: 2025年度は受注高+19.5%・売上収益+14.1%・事業利益+21.8%。売上収益は航空・防衛・宇宙とエナジーで増加、事業利益はエナジーと航空・防衛・宇宙で増加。 / 防衛・電力テーマは公式受注と利益で確認できるが、株価は過熱・反動・指数劣後注意。質的に強くても初回買付には戻さない。,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
77,8058.T,三菱商事,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,14.22,56.5,92.0,77.3,-33.7,-19.53,収益+1.6%・税引前利益-21.3%・当期利益-14.8%・親会社所有者帰属当期利益-15.8%・EPS210.92円・ROE8.5%・BPS2578.33円・親会社所有者帰属持分比率39.1%・FY2027会社予想親会社所有者帰属当期利益+37.4%・EPS300.42円・年間配当予想125円を確認,2026年3月期 決算短信〔ＩＦＲＳ〕(連結) / 開示日基準 / D+1 -2.15% / D+5 6.04% / D+20 -19.53% / イベント反証,商社・資源・株主還元: 2026年3月期は親会社所有者帰属当期利益-15.8%だがFY2027会社予想は同利益+37.4%・EPS300.42円・年間配当予想125円。累進配当と自己株式取得方針も確認。 / 今期減益のため質的材料だけで買付根拠にしない。資源価格・円高・商社セクター反応・イベント後20営業日を併用,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
78,8053.T,住友商事,通常A不可（イベント反証）,NO,通過,反証,通過,通過,通過,通過,通過,13.46,53.1,100.0,99.8,-35.8,-14.91,収益+0.6%・親会社所有者帰属利益+6.8%・EPS499.09円・ROE12.9%・親会社所有者帰属持分比率33.9%・営業CF8134.56億円・年間配当150円・FY2027会社予想利益6300億円+4.9%を確認,2026年3月期決算短信〔IFRS〕(連結) / 開示日基準 / D+1 2.61% / D+5 6.24% / D+20 -14.91% / イベント反証,商社・資源・還元: 主要公式財務はpass。決算後1日と5日はプラスだが20営業日は対日経平均-14.91%。 / 資源・還元テーマは説明材料に留める。20営業日反応が弱いため追加は指数比較の改善後。,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
79,8031.T,三井物産,通常A不可（イベント反証）,NO,通過,反証,補助,通過,通過,通過,通過,11.06,47.3,84.0,83.4,-41.7,-29.57,収益-4.6%・税引前利益-4.2%・当期利益-6.2%・親会社所有者帰属当期利益-7.4%・EPS291.12円・ROE10.2%・BPS3093.56円・親会社所有者帰属持分比率42.1%・FY2027会社予想親会社所有者帰属当期利益+10.3%・EPS324.61円・年間配当予想140円を確認,2026年3月期決算 / 開示前営業日基準 / D+1 -11.38% / D+5 -2.72% / D+20 -29.57% / 反証注意,商社・資源・株主還元: 公式決算でFY2027会社予想の親会社所有者帰属当期利益+10.3%、EPS324.61円、年間配当予想140円を確認。ただし2026年3月期は収益-4.6%、親会社所有者帰属当期利益-7.4%で、直近実績は減収減益。 / 質的根拠は監視・比較の補助まで。資源市況・円高・商社セクター反応・決算後反応が未接続のため、この材料だけでは買付候補に上げない。,決算後20営業日で指数比が弱い / 質的材料はあるが、通常Aの単独根拠にしない扱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
80,8002.T,丸紅,通常A不可（イベント反証）,NO,不足,反証,不足,通過,通過,通過,通過,10.64,52.1,70.0,87.2,-37.3,-28.18,公式決算原本照合,"Summary of Consolidated Financial Results For the Fiscal Year Ended March 31, 2026 (IFRS basis) / 開示日基準 / D+1 -10.10% / D+5 -6.58% / D+20 -28.18% / イベント反証",公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。
