rank,ticker,name,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,benchmark_score,risk_score,reliability,ev_score,implied_gate_penalty,pre_score_formula,final_score_formula,gate_notes,missing_items,data_sources,audit_note
56,6702.T,富士通,買付不可,0.0,44.7,27.3,80.0,48.0,50.0,15.8,44.8,66.0,53.6,45.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意 / 長期探索テーマ,公式決算原本照合,補助財務 / チャンネル質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
57,4519.T,中外製薬,買付不可,0.0,41.1,24.7,49.0,65.0,43.6,15.7,51.7,70.0,53.4,42.8,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助イベント反応 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
58,1925.T,大和ハウス工業,買付不可,0.0,37.7,19.5,49.0,50.0,50.0,9.8,63.8,54.0,49.2,39.3,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
59,9020.T,JR東日本,買付不可,0.0,39.0,22.6,49.0,50.0,50.0,13.9,63.6,54.0,47.7,40.2,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
60,3402.T,東レ,買付不可,0.0,39.1,23.2,49.0,50.0,50.0,16.1,59.4,54.0,48.8,40.5,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
61,4188.T,三菱ケミカルG,買付不可,0.0,42.8,31.3,49.0,55.0,50.0,24.9,49.4,62.0,50.0,43.8,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
62,4503.T,アステラス製薬,買付不可,0.0,41.0,29.3,49.0,50.0,50.0,26.5,46.8,54.0,47.6,41.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
63,6326.T,クボタ,買付不可,0.0,43.9,34.1,55.0,50.0,50.0,32.3,44.2,54.0,48.6,44.6,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
64,7203.T,トヨタ自動車,買付不可,0.0,41.2,23.3,66.0,50.0,50.0,18.2,41.7,62.0,48.6,42.2,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
65,9766.T,コナミグループ,買付不可,0.0,38.8,26.0,49.0,50.0,50.0,17.5,43.3,54.0,52.4,40.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
66,7267.T,ホンダ,買付不可,0.0,37.3,20.3,51.0,50.0,50.0,11.5,50.6,54.0,46.5,38.6,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
67,7532.T,パン・パシフィック,買付不可,0.0,36.5,20.7,49.0,50.0,50.0,12.4,42.1,54.0,48.6,38.2,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
68,6526.T,ソシオネクスト,買付不可,0.0,36.8,30.2,36.0,50.0,50.0,35.0,7.2,54.0,45.3,38.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
69,9697.T,カプコン,買付不可,0.0,36.4,21.9,49.0,50.0,50.0,11.6,36.7,54.0,51.0,38.4,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
70,4005.T,住友化学,買付不可,0.0,41.9,32.8,49.0,50.0,50.0,29.9,39.9,54.0,45.7,42.4,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
71,6758.T,ソニーグループ,買付不可,0.0,39.1,20.6,65.0,50.0,50.0,9.7,38.4,62.0,48.1,40.4,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
72,9202.T,ANA HD,買付不可,0.0,36.2,16.6,49.0,50.0,50.0,7.7,59.6,54.0,44.9,37.4,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
73,6273.T,SMC,買付不可,0.0,40.3,20.1,75.0,50.0,50.0,14.2,34.1,54.0,43.1,40.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
74,6902.T,デンソー,買付不可,0.0,40.2,15.3,82.0,50.0,50.0,6.6,45.9,54.0,43.3,40.6,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
75,2801.T,キッコーマン,買付不可,0.0,37.4,18.2,49.0,55.0,50.0,7.3,54.3,62.0,43.2,38.2,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
76,4452.T,花王,買付不可,0.0,36.6,15.3,49.0,55.0,50.0,4.3,59.2,62.0,43.0,37.5,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
77,6645.T,オムロン,買付不可,0.0,37.1,22.6,53.0,50.0,50.0,16.3,28.0,54.0,37.0,37.1,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
78,9022.T,JR東海,買付不可,0.0,35.3,15.1,49.0,50.0,50.0,9.4,51.6,54.0,44.0,36.5,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
79,2432.T,ディー・エヌ・エー,買付不可,0.0,34.7,16.3,49.0,50.0,50.0,7.9,41.7,54.0,41.7,35.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
80,7832.T,バンダイナムコHD,買付不可,0.0,35.5,18.5,49.0,50.0,50.0,9.2,41.5,54.0,48.3,37.3,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
81,4385.T,メルカリ,買付不可,0.0,40.7,26.1,57.0,50.0,56.8,23.7,24.7,62.0,35.1,39.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務 / 補助イベント反応,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
82,2502.T,アサヒGHD,買付不可,0.0,34.8,14.3,49.0,50.0,50.0,4.0,55.9,54.0,44.1,36.1,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
83,7270.T,SUBARU,買付不可,0.0,34.1,12.1,55.0,50.0,50.0,7.6,37.5,54.0,42.2,35.2,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
84,4543.T,テルモ,買付不可,0.0,34.9,17.8,49.0,50.0,50.0,6.2,40.9,54.0,44.1,36.2,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
85,9021.T,JR西日本,買付不可,0.0,33.5,11.3,49.0,50.0,50.0,3.5,51.6,54.0,42.4,34.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
86,7974.T,任天堂,買付不可,0.0,28.6,10.3,75.0,50.0,0.0,6.0,13.2,70.0,38.5,30.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 補助イベント反応 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
87,4911.T,資生堂,買付不可,0.0,31.7,11.3,49.0,50.0,50.0,6.7,25.0,54.0,33.4,31.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
88,8113.T,ユニ・チャーム,買付不可,0.0,31.0,9.1,49.0,50.0,50.0,0.2,32.8,54.0,37.5,31.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
89,4568.T,第一三共,買付不可,0.0,30.8,10.5,49.0,50.0,50.0,5.7,17.6,54.0,40.3,32.1,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
90,4751.T,サイバーエージェント,買付不可,0.0,30.0,9.0,49.0,50.0,50.0,0.0,20.9,54.0,34.4,30.6,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
91,4523.T,エーザイ,買付不可,0.0,30.0,6.9,49.0,50.0,50.0,1.5,26.7,54.0,33.9,30.5,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
92,3092.T,ZOZO,買付不可,0.0,31.5,10.3,49.0,50.0,50.0,3.0,30.7,54.0,40.3,32.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
93,3659.T,ネクソン,買付不可,0.0,29.2,6.6,49.0,50.0,50.0,3.1,15.8,54.0,39.8,30.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
94,6594.T,ニデック,買付不可,0.0,31.6,8.2,61.0,50.0,50,0.0,13.1,62.0,32.0,31.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務 / 補助イベント反応,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
95,9843.T,ニトリHD,買付不可,0.0,29.5,6.3,49.0,50.0,50.0,0.3,25.3,54.0,37.6,30.6,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
96,4661.T,オリエンタルランド,買付不可,0.0,28.0,4.4,49.0,50.0,50.0,0.3,13.1,54.0,35.3,29.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
97,4755.T,楽天グループ,買付不可,0.0,29.2,6.5,49.0,50.0,50.0,0.0,21.4,54.0,34.9,30.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
98,4689.T,LINEヤフー,買付不可,0.0,29.8,8.3,49.0,50.0,50.0,2.3,18.5,54.0,36.0,30.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
99,6869.T,シスメックス,買付不可,0.0,27.6,4.5,49.0,50.0,50.0,0.0,8.0,54.0,32.5,28.3,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
100,2413.T,エムスリー,買付不可,0.0,26.8,2.4,49.0,50.0,50.0,0.0,6.4,54.0,32.0,27.5,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
