priority,ticker,name,source,theme,current_system_status,expansion_status,known_numbers,main_missing,next_action,client_explanation
56,7203.T,トヨタ自動車,補充スクリーニング,世界販売・円安・HV/EV,通常A未達（財務不足）,既存100内の再確認候補,補充スコア39.4 / 成長16.9 / 下落耐性21.2 / PER12.99 / PBR0.98 / ROE10.15% / 利益前年比-21.5% / 1年12.5%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.68%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
57,6273.T,SMC,補充スクリーニング,空圧機器・自動化,通常A未達（財務不足）,既存100内の再確認候補,補充スコア38.9 / 成長21.6 / 下落耐性32.2 / PER23.84 / PBR1.92 / ROE8.28% / 利益前年比0.2% / 1年17.7%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(34.1) / 期待値が低い(-3.47%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
58,7532.T,パン・パシフィック,補充スクリーニング,ディスカウント・インバウンド,通常A未達（財務不足）,既存100内の再確認候補,補充スコア38.8 / 成長0 / 下落耐性41.1 / PER / PBR / ROE% / 利益前年比% / 1年-4.7%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.68%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
59,7832.T,バンダイナムコHD,補充スクリーニング,IP・ゲーム,通常A未達（財務不足）,既存100内の再確認候補,補充スコア38.5 / 成長0 / 下落耐性44.2 / PER / PBR / ROE% / 利益前年比% / 1年-19.3%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.85%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
60,3402.T,東レ,補充スクリーニング,炭素繊維・繊維,通常A未達（財務不足）,既存100内の再確認候補,補充スコア37.9 / 成長0 / 下落耐性35.6 / PER / PBR / ROE% / 利益前年比% / 1年11.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.6%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
61,4188.T,三菱ケミカルG,補充スクリーニング,素材・石化,通常A未達（財務不足）,既存100内の再確認候補,補充スコア37.9 / 成長0 / 下落耐性31.2 / PER / PBR / ROE% / 利益前年比% / 1年36.3%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.02%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
62,8113.T,ユニ・チャーム,補充スクリーニング,アジア・衛生用品,通常A未達（財務不足）,既存100内の再確認候補,補充スコア37.2 / 成長0 / 下落耐性40.2 / PER / PBR / ROE% / 利益前年比% / 1年-17.2%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(32.8) / 期待値が低い(-6.25%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
63,1802.T,大林組,補充スクリーニング,インフラ・防災,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア36.5 / 成長0 / 下落耐性30.3 / PER / PBR / ROE% / 利益前年比% / 1年51.4%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(62),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
64,7267.T,ホンダ,補充スクリーニング,二輪・自動車,通常A未達（財務不足）,既存100内の再確認候補,補充スコア35.8 / 成長6.9 / 下落耐性34 / PER20.63 / PBR0.45 / ROE-3.51% / 利益前年比-134.1% / 1年-4%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-1.73%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
65,6869.T,シスメックス,補充スクリーニング,検査機器,通常A未達（財務不足）,既存100内の再確認候補,補充スコア35.5 / 成長0 / 下落耐性39.3 / PER / PBR / ROE% / 利益前年比% / 1年-43.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(8) / 期待値が低い(-8.74%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
66,1803.T,清水建設,補充スクリーニング,インフラ・防災,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア35.3 / 成長0 / 下落耐性27.6 / PER / PBR / ROE% / 利益前年比% / 1年64.7%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
67,9021.T,JR西日本,補充スクリーニング,交通・インバウンド,通常A未達（財務不足）,既存100内の再確認候補,補充スコア34.6 / 成長0 / 下落耐性37.6 / PER / PBR / ROE% / 利益前年比% / 1年-11.7%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.82%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
68,7270.T,SUBARU,補充スクリーニング,米国販売,通常A未達（財務不足）,既存100内の再確認候補,補充スコア34.3 / 成長7.1 / 下落耐性21 / PER13.66 / PBR0.64 / ROE3.31% / 利益前年比-90.1% / 1年-6.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.91%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
69,1801.T,大成建設,補充スクリーニング,インフラ・防災,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア33.7 / 成長0 / 下落耐性24.5 / PER / PBR / ROE% / 利益前年比% / 1年71.8%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
70,3092.T,ZOZO,補充スクリーニング,アパレルEC,通常A未達（財務不足）,既存100内の再確認候補,補充スコア33.1 / 成長0 / 下落耐性37.8 / PER / PBR / ROE% / 利益前年比% / 1年-35%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(30.7) / 期待値が低い(-4.86%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
71,1925.T,大和ハウス工業,補充スクリーニング,住宅・物流施設,通常A未達（財務不足）,既存100内の再確認候補,補充スコア32.8 / 成長0 / 下落耐性34 / PER / PBR / ROE% / 利益前年比% / 1年-9.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.41%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
72,9202.T,ANA HD,補充スクリーニング,旅行・インバウンド,通常A未達（財務不足）,既存100内の再確認候補,補充スコア31.3 / 成長0 / 下落耐性27.9 / PER / PBR / ROE% / 利益前年比% / 1年-2.4%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.57%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
73,6723.T,ルネサス,補充スクリーニング,車載・産業半導体,通常A未達（財務不足）,既存100内の再確認候補,補充スコア30.9 / 成長3.1 / 下落耐性25.3 / PER / PBR2.78 / ROE-2.08% / 利益前年比-9.8% / 1年120.2%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(23.3) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
74,9697.T,カプコン,補充スクリーニング,ゲームIP,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア30.9 / 成長0 / 下落耐性31.8 / PER / PBR / ROE% / 利益前年比% / 1年-21.3%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 期待値が低い(0.52%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
75,9022.T,JR東海,補充スクリーニング,新幹線・リニア,通常A未達（財務不足）,既存100内の再確認候補,補充スコア30.3 / 成長0 / 下落耐性25 / PER / PBR / ROE% / 利益前年比% / 1年16.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.98%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
76,4568.T,第一三共,補充スクリーニング,がん領域,通常A未達（財務不足）,既存100内の再確認候補,補充スコア30.1 / 成長0 / 下落耐性32.8 / PER / PBR / ROE% / 利益前年比% / 1年-28.8%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(17.6) / 期待値が低い(-4.85%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
77,4519.T,中外製薬,補充スクリーニング,医薬・ロシュ連携,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア27.3 / 成長0 / 下落耐性17.4 / PER / PBR / ROE% / 利益前年比% / 1年7%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
78,2413.T,エムスリー,補充スクリーニング,医療DX,通常A未達（財務不足）,既存100内の再確認候補,補充スコア22.7 / 成長0 / 下落耐性20 / PER / PBR / ROE% / 利益前年比% / 1年-28.5%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(6.4) / 期待値が低い(-9.02%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
79,4661.T,オリエンタルランド,補充スクリーニング,テーマパーク,通常A未達（財務不足）,既存100内の再確認候補,補充スコア21.8 / 成長0 / 下落耐性20 / PER / PBR / ROE% / 利益前年比% / 1年-32.3%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(13.1) / 期待値が低い(-7.34%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
80,3659.T,ネクソン,補充スクリーニング,オンラインゲーム,通常A未達（財務不足）,既存100内の再確認候補,補充スコア19.8 / 成長0 / 下落耐性11.1 / PER / PBR / ROE% / 利益前年比% / 1年-10.7%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(15.8) / 期待値が低い(-5.11%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
81,9843.T,ニトリHD,補充スクリーニング,家具・円高メリット,通常A未達（財務不足）,既存100内の再確認候補,補充スコア17.7 / 成長0 / 下落耐性7.8 / PER / PBR / ROE% / 利益前年比% / 1年-18.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(25.3) / 期待値が低い(-6.2%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
82,6501.T,日立製作所,量子・フィジカルAI枠,量子コンピューター / 研究開発、HPC、制御、産業DXへの量子活用余地,通常A不可（イベント反証）,既存100内の再確認候補,既存100社データあり。量子より産業AI・電力・制御の寄与が大きい。 / 一部あり,決算後20営業日で指数比が弱い,既存総合候補との重複評価を整理する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
83,6503.T,三菱電機,量子・フィジカルAI枠,量子コンピューター / 量子暗号、防衛、FA、電力制御の周辺技術,通常A未達（イベント不足）,既存100内の再確認候補,既存100社データあり。量子売上の見える化が難しい。 / 一部あり,20営業日反応が未到達,量子ではなく電力・FA側の評価と接続する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
84,6594.T,ニデック,量子・フィジカルAI枠,フィジカルAI / モーター、アクチュエータ、駆動部品,通常A未達（財務不足）,既存100内の再確認候補,EV、精密小型モーター、ロボット向け寄与の分離が必要。 / 追加取得,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(13.1) / 期待値が低い(-8.99%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,セグメント別の利益率と成長源を整理する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
85,3626.T,TIS,量子・フィジカルAI枠,量子コンピューター / 企業向けIT、金融IT、先端技術導入支援の可能性,現100社外,テーマ追加調査候補,公式案件確認が必要。 / 追加取得,量子関連案件、財務指標、株価長期指標,公式資料で量子関連案件の有無を確認する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
86,3687.T,フィックスターズ,量子・フィジカルAI枠,量子コンピューター / 高速化ソフト、量子アニーリング関連の調査候補,現100社外,テーマ追加調査候補,公式確認と流動性確認が必要。 / 追加取得,公式IR、PER/PBR/ROE、最大下落、流動性,公式IRと長期株価指標を確認する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
87,4307.T,野村総合研究所,量子・フィジカルAI枠,量子コンピューター / 金融・企業向け高度計算、導入支援の可能性,現100社外,テーマ追加調査候補,量子テーマとの直接性は弱い。SI/コンサルとして確認。 / 追加取得,量子案件有無、財務指標、指数差,量子関連案件が公式に確認できるか調べる,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
88,4812.T,電通総研,量子・フィジカルAI枠,量子コンピューター / 企業DX、数理最適化、研究開発支援の可能性,現100社外,テーマ追加調査候補,量子関連の公式確認が必要。 / 追加取得,公式案件、財務指標、指数差、流動性,量子・HPC・数理最適化関連の公式開示を確認する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
89,6324.T,ハーモニック・ドライブ・システムズ,量子・フィジカルAI枠,フィジカルAI / 精密減速機、ロボット関節部品,現100社外,テーマ追加調査候補,小型・高ボラ。赤字/黒字、受注回復、財務安全性の確認が必要。 / 追加取得,業績、財務安全性、流動性、最大下落率,受注回復と損益改善を確認する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
90,6479.T,ミネベアミツミ,量子・フィジカルAI枠,フィジカルAI / モーター、センサー、精密部品,現100社外,テーマ追加調査候補,テーマはあるが事業範囲が広い。利益寄与の分離が必要。 / 追加取得,セグメント寄与、利益率、株価長期指標,ロボット・産業機器向け売上の確認,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
91,6506.T,安川電機,量子・フィジカルAI枠,フィジカルAI / 産業用ロボット、サーボ、モーション制御,現100社外,テーマ追加調査候補,事業実体あり。受注、地域別需要、営業利益率、設備投資サイクルの確認が必要。 / 追加取得,PER/PBR/ROE、直近決算、受注、1年/5年/10年指数差,公式決算短信と決算説明資料から受注・利益率を入れる,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
92,9613.T,NTTデータグループ,量子・フィジカルAI枠,量子コンピューター / 量子計算の企業導入、SI、コンサル実装,現100社外,テーマ追加調査候補,量子より通常SI/クラウドの影響が大きい可能性。 / 追加取得,株価指標、案件、売上寄与,導入支援案件と財務指標を確認する,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
